,0,1
0,송월동 동화마을,인천광역시 중구 송월동3가 자유공원서로45번길
1,인천 차이나타운,인천광역시 중구 북성동
2,송도 센트럴파크,인천광역시 연수구 송도동 컨벤시아대로 160
3,정서진,인천광역시 서구 오류동
4,인천대공원,인천광역시 남동구 무네미로 236
5,자유공원,인천광역시 중구 자유공원남로 25
6,소무의도,인천광역시 중구 무의동
7,인천상륙작전기념관,인천광역시 연수구 청량로 138
8,월미공원,인천광역시 중구 월미로 131-31 (북성동1가)
9,수도국산 달동네박물관,인천광역시 동구 솔빛로 51
10,월미도,인천광역시 중구 북성동1가 86 ()-ga
11,강화 평화전망대,인천광역시 강화군 양사면 철산리 산6-1
12,인천대교기념관,인천광역시 중구 운남동 1113-70
13,G-타워 인천경제자유구역(IFEZ) 청사,인천광역시 중구 운남동 1113-70
