index,name,address,description,latitude,longitude,level
2,도리포,전라남도 무안군 해제면 송석리 130 해제면 송석리 130번지 무안군 전라남도 KR 58503,",",35.1565597,126.3464218,4
5,도리포유원지,전라남도 무안군 해제면 송석리 30-4,",",35.1569797,126.3467066,4
7,목우암,전라남도 무안군 몽탄면 법천길 482-85,",",34.917799,126.4543965,4
8,법천사,전라남도 무안군 몽탄면 달산리 956,",",37.6154833,127.0395726,4
