,0,1
0,돌산공원,전라남도 여수시 돌산읍 우두리 산1
1,여수해양레일바이크,전라남도 여수시 만흥동 141-2
2,여수해양공원,전라남도 여수시 중앙동 246-1
3,천사벽화마을,전라남도 여수시 고소동
4,진남관,전라남도 여수시 동문로 11
5,여수해상케이블카 돌산탑승장,전라남도 여수시 돌산읍 돌산로 3600-1
6,이순신광장,전라남도 여수시 중앙동 383
7,장도,전라남도 여수시 웅천동 산275-1
8,여수 자산공원,전라남도 여수시 종화동
9,여수시,전라남도 여수시
10,여수예술랜드,전라남도 여수시 돌산읍 무술목길 142-1
11,돌산도,전라남도 여수시 돌산읍 무술목길 142-1
12,여수세계박람회 스카이타워,전라남도 여수시 덕충동 박람회길 1 KR
13,돌산대교,전라남도 여수시 돌산읍 우두리 816
