,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,수암골,국립청주박물관,상당산성,청주동물원,용화사,청주랜드,청주가로수길,성안길,청주고인쇄박물관,청주중앙공원,청남대(靑南臺),정북동 토성,명암유원지,삼일공원
1,충청북도 청주시 상당구 수동 81-12,충청북도 청주시 상당구 명암로 143,충청북도 청주시 상당구 산성동 산28-2,"28311, 224 명암로 상당구 청주시 충청북도",충청북도 청주시 서원구 무심서로 565,충청북도 청주시 상당구 명암동 명암로 171,충청북도 청주시 흥덕구 강서동,충청북도 청주시 상당구 북문로1가 81-4,충청북도 청주시 흥덕구 직지대로 713,충청북도 청주시 상당구 남문로2가 상당로55번길 33,충청북도 청주시 상당구 문의면 청남대길 646,충청북도 청주시 상당구 정북동 351-1,충청북도 청주시 상당구 명암로 171,충청북도 청주시 상당구 수동 159-1
