,0,1
0,천수만,충청남도 서산시 부석면
1,서산버드랜드,충청남도 서산시 부석면 천수만로 655-73
2,해미읍성,충청남도 서산시 해미면 남문2로 143
3,용비지,충청남도 서산시 운산면 신창리 171
4,개심사(開心寺),충청남도 서산시 운산면 개심사로 321-86
5,서산아라메 1코스,충청남도 서산시 운산면 여미리 203-1
6,간월암,충청남도 서산시 부석면 간월도리 16-11
7,문수사(文殊寺),충청남도 서산시 운산면 태봉리 40
8,서산 보원사지,충청남도 서산시 운산면 용현리
9,쉼이 있는 정원,충청남도 서산시 인지면 모월2길
10,서산 용현리 마애여래삼존상,충청남도 서산시 운산면 마애삼존불길 65-13
11,용유지(용비저수지),충청남도 서산시 운산면 용현리
12,내아,충청남도 서산시 해미면 읍내리 31-2
13,서산동부전통시장,충청남도 서산시 시장3길 7-2
