,0,1
0,청풍문화재단지,충청북도 제천시 청풍면 청풍호로 2048
1,청풍호 관광 모노레일,충청북도 제천시 청풍면 신리
2,제천역 광장 초아의 봉사 시계탑,충청북도 제천시 화산동
3,청풍랜드,충청북도 제천시 청풍면 교리
4,의림지,충청북도 제천시 모산동 241
5,청풍호반 케이블카 물태리역,충청북도 제천시 청풍면 문화재길 166
6,교동민화마을,충청북도 제천시 교동 용두천로20길 18
7,금월봉,충청북도 제천시 금성면 월굴리 산15-5
8,덕동계곡,충청북도 제천시 백운면 덕동리
9,능강계곡,충청북도 제천시 수산면 능강리
10,제천 청풍 응청각,충청북도 제천시 청풍면 문화재길
11,지적박물관,충청북도 제천시 청풍면 문화재길
12,제천중앙시장,충청북도 제천시 중앙로1가 77
13,청풍호 출렁다리,제천시 수산면 괴곡리
