,0,1
0,성안길,충청북도 청주시 상당구 북문로1가 81-4
1,청주중앙공원,충청북도 청주시 상당구 남문로2가 상당로55번길 33
2,용화사,충청북도 청주시 서원구 무심서로 565
3,국립청주박물관,충청북도 청주시 상당구 명암로 143
4,온천도시 족욕체험장,충청북도 청주시 흥덕구 직지대로667번길 33-3
5,상당산성,충청북도 청주시 상당구 산성동 산28-2
6,수암골,충청북도 청주시 상당구 수동 81-12
7,신미술관,충청북도 청주시 서원구 호국로97번길 30
8,청주동물원,"28311, 224 명암로 상당구 청주시 충청북도"
9,청주랜드,충청북도 청주시 상당구 명암동 명암로 171
10,청주가로수길,충청북도 청주시 흥덕구 강서동
11,청주시립미술관,충청북도 청주시 흥덕구 강서동
12,청주삼겹살거리,충청북도 청주시 상당구 서문동 124 KR
13,청주흥덕사지,충청북도 청주시 흥덕구 운천동 866
