index,name,address,description,latitude,longitude,level
0,봉래폭포,경상북도 울릉군 울릉읍 도동리 산39,",",37.4981732,130.8838863,1
2,촛대바위,경상북도 울릉군 울릉읍 도동리,",",37.2411356,131.86725226976046,1
6,독도박물관,경상북도 울릉군 울릉읍 약수터길 90-17,",",37.4833281,130.9009199,1
12,사동해수욕장,경상북도 울릉군 울릉읍 저동리,",",37.4757999,130.895703,1
13,안용복기념관,경상북도 울릉군 북면 석포길,",",37.5354383,130.9065895,1
