index,name,address,description,latitude,longitude,level
1,주왕산,경상북도 청송군 부동면 상의리 산 84,",",36.3892916,129.1626562,2
2,주산지(注山池),경상북도 청송군 부동면 주산지길 163,",",36.36268445,129.19025771089943,2
4,주왕산 국립공원,경상북도 청송군 부동면 상의리,"오래된 사찰, 석회암 봉우리, 동굴, 협곡, 수공예품 마을이 있는 국립공원입니다.",36.378275,129.1889661382114,2
6,절구폭포,경상북도 청송군 부동면 상의리,",",36.404092,129.1705617,2
8,용연폭포,경상북도 청송군 부동면 제 3 폭포,",",36.4070917,129.1704748,2
9,청송자연휴양림,경상북도 청송군 부남면 청송로 3478-96,",",36.313493,129.058155,2
12,군립청송야송미술관,경상북도 청송군 청송읍 월외리 639,",",36.50545,129.1195,2
