,0,1
0,안동 하회마을,경상북도 안동시 풍천면 전서로 186
1,부용대,경상북도 안동시 풍천면 광덕솔밭길 72
2,안동문화관광단지,경상북도 안동시 성곡동
3,영호루,경상북도 안동시 강남로 187-5
4,신세동 벽화마을,경상북도 안동시 동문동 428-2
5,월영정(月映亭),경상북도 안동시 상아동 569
6,유교랜드,경상북도 안동시 성곡동 관광단지로 346-30
7,만휴정,경상북도 안동시 길안면 묵계하리길 42
8,안동 임청각(臨淸閣),경상북도 안동시 중구동 임청각길 63
9,안동전통문화콘텐츠박물관,경상북도 안동시 명륜동 344
10,안동 민속촌,경상북도 안동시 성곡동 822-3
11,안동 도산서원(陶山書院),경상북도 안동시 도산면 도산서원길 154
12,안동이천동석불상,경상북도 안동시 이천동 산2
13,안동소주·전통음식 박물관,경상북도 안동시 수상동 280
