,0,1
0,경기도 수원화성,경기도 수원시 장안구 영화동 320-2
1,화령전,경기도 수원시 팔달구 신풍로23번길 15
2,화성행궁,경기도 수원시 팔달구 남창동 행궁로 11
3,행리단길,경기도 수원시 팔달구 장안동 290-2
4,광교호수공원 어반레비,경기도 수원시 영통구 하동 1023
5,나혜석거리,경기도 수원시 팔달구 인계동 1119
6,효원의 종,경기도 수원시 팔달구 남창동 산1-6
7,지동 벽화마을,경기도 수원시 팔달구 지동 271-156
8,팔달문,경기도 수원시 팔달구 정조로 780
9,광교호수공원,경기도 수원시 영통구 하동 광교호수로 57
10,화서문,경기도 수원시 팔달구 장안동 334
11,수원화성박물관,경기도 수원시 팔달구 창룡대로 21
12,장안문,경기도 수원시 팔달구 장안동 정조로 910
13,수원 공방거리,경기도 수원시 팔달구 장안동 정조로 910
