index,name,address,description,latitude,longitude,level
1,당성,경기도 화성시 서신면 상안리 산32,",",37.2011429,126.7080086,5
6,매바위,경기도 화성시 서신면 해안길,",",37.4287019,127.044616,5
7,만의사,경기도 화성시 풀무골로 219,",",37.2091437,127.1493561,5
12,경기도 수원화성,경기도 화성시 정남면 문학리,",",37.2867876,127.0114366,5
